id_municipio,nome_municipio,sigla_uf,nome_regiao,n_alunos_2024,presenca_2024,taxa_presentes_2024,taxa_alf_2024,risco_previsto_2024,idhm,ivs,cluster,alerta_participacao
2207801,Paulistana,PI,Nordeste,248.0,0.952,0.504,0.48,0.451,0.6,0.481,0,False
3540705,Porto Ferreira,SP,Sudeste,504.0,0.913,0.504,0.46,0.437,0.751,0.225,1,False
1703800,Buriti do Tocantins,TO,Norte,125.0,0.904,0.504,0.456,0.642,0.627,0.545,0,False
1200054,Assis Brasil,AC,Norte,124.0,0.831,0.505,0.419,0.596,0.588,0.5,0,False
2708402,São José da Tapera,AL,Nordeste,423.0,0.941,0.505,0.475,0.549,0.527,0.579,0,False
1503507,Irituia,PA,Norte,238.0,0.832,0.505,0.42,0.587,0.559,0.544,0,False
2922607,Nilo Peçanha,BA,Nordeste,98.0,0.99,0.505,0.5,0.65,0.547,0.472,0,False
4105201,Cerro Azul,PR,Sul,208.0,0.885,0.505,0.447,0.455,0.573,0.375,0,False
2511905,Pitimbu,PB,Nordeste,209.0,0.871,0.505,0.44,0.544,0.57,0.538,0,False
1200609,Tarauacá,AC,Norte,716.0,0.865,0.506,0.437,0.664,0.539,0.585,0,False
2923308,Ouriçangas,BA,Nordeste,90.0,0.944,0.506,0.478,0.594,0.607,0.443,0,False
1505536,Parauapebas,PA,Norte,3867.0,0.738,0.506,0.373,0.565,0.715,0.405,1,True
2611408,Primavera,PE,Nordeste,85.0,0.976,0.506,0.494,0.364,0.58,0.476,0,False
3549508,São José da Bela Vista,SP,Sudeste,89.0,0.91,0.506,0.461,0.399,0.693,0.309,1,False
1702208,Araguatins,TO,Norte,369.0,0.846,0.506,0.428,0.68,0.631,0.448,0,False
4319158,São Miguel das Missões,RS,Sul,78.0,0.962,0.507,0.487,0.442,0.667,0.253,1,False
4121000,Querência do Norte,PR,Sul,162.0,0.889,0.507,0.451,0.327,0.688,0.351,1,False
1720804,Sítio Novo do Tocantins,TO,Norte,159.0,0.906,0.507,0.459,0.608,0.604,0.566,0,False
4307500,Espumoso,RS,Sul,148.0,0.932,0.507,0.473,0.389,0.765,0.209,1,False
